2026-01-14 14:52:04.703 UTC [52] LOG:  checkpoint starting: time
2026-01-14 14:52:05.112 UTC [52] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.402 s, sync=0.002 s, total=0.409 s; sync files=5, longest=0.002 s, average=0.001 s; distance=14 kB, estimate=89 kB; lsn=0/1D11048, redo lsn=0/1D10FF0
2026-01-14 15:07:04.373 UTC [52] LOG:  checkpoint starting: time
2026-01-14 15:07:04.691 UTC [52] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.305 s, sync=0.004 s, total=0.318 s; sync files=4, longest=0.004 s, average=0.001 s; distance=10 kB, estimate=81 kB; lsn=0/1D13A40, redo lsn=0/1D139E8
2026-01-16 09:27:51.443 UTC [52] LOG:  checkpoint starting: time
2026-01-16 09:27:52.600 UTC [52] LOG:  checkpoint complete: wrote 12 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.140 s, sync=0.003 s, total=1.160 s; sync files=10, longest=0.002 s, average=0.001 s; distance=44 kB, estimate=78 kB; lsn=0/1D1EAA8, redo lsn=0/1D1EA50
2026-01-16 09:32:51.693 UTC [52] LOG:  checkpoint starting: time
2026-01-16 09:32:52.102 UTC [52] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.403 s, sync=0.002 s, total=0.410 s; sync files=5, longest=0.002 s, average=0.001 s; distance=21 kB, estimate=72 kB; lsn=0/1D23F18, redo lsn=0/1D23EC0
2026-01-16 09:52:51.463 UTC [52] LOG:  checkpoint starting: time
2026-01-16 09:52:53.077 UTC [52] LOG:  checkpoint complete: wrote 17 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.607 s, sync=0.002 s, total=1.614 s; sync files=12, longest=0.002 s, average=0.001 s; distance=64 kB, estimate=71 kB; lsn=0/1D34298, redo lsn=0/1D34240
2026-01-16 09:57:51.161 UTC [52] LOG:  checkpoint starting: time
2026-01-16 09:57:51.267 UTC [52] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.101 s, sync=0.002 s, total=0.107 s; sync files=1, longest=0.002 s, average=0.002 s; distance=2 kB, estimate=64 kB; lsn=0/1D34E00, redo lsn=0/1D34DA8
2026-01-16 10:07:51.466 UTC [52] LOG:  checkpoint starting: time
2026-01-16 10:07:53.281 UTC [52] LOG:  checkpoint complete: wrote 19 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.809 s, sync=0.003 s, total=1.816 s; sync files=18, longest=0.001 s, average=0.001 s; distance=74 kB, estimate=74 kB; lsn=0/1D47838, redo lsn=0/1D477A8
2026-01-16 10:12:51.348 UTC [52] LOG:  checkpoint starting: time
2026-01-16 10:12:51.956 UTC [52] LOG:  checkpoint complete: wrote 6 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.602 s, sync=0.002 s, total=0.608 s; sync files=5, longest=0.002 s, average=0.001 s; distance=7 kB, estimate=67 kB; lsn=0/1D49770, redo lsn=0/1D49718
2026-01-16 10:42:52.539 UTC [52] LOG:  checkpoint starting: time
2026-01-16 10:42:53.128 UTC [52] LOG:  checkpoint complete: wrote 6 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.508 s, sync=0.010 s, total=0.590 s; sync files=6, longest=0.007 s, average=0.002 s; distance=32 kB, estimate=64 kB; lsn=0/1D517E0, redo lsn=0/1D51788
2026-01-16 10:47:52.228 UTC [52] LOG:  checkpoint starting: time
2026-01-16 10:47:52.635 UTC [52] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.403 s, sync=0.002 s, total=0.408 s; sync files=5, longest=0.001 s, average=0.001 s; distance=23 kB, estimate=60 kB; lsn=0/1D575B8, redo lsn=0/1D57560
2026-01-16 10:52:52.735 UTC [52] LOG:  checkpoint starting: time
2026-01-16 10:52:53.143 UTC [52] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.402 s, sync=0.002 s, total=0.408 s; sync files=5, longest=0.002 s, average=0.001 s; distance=18 kB, estimate=55 kB; lsn=0/1D5BE78, redo lsn=0/1D5BE20
2026-01-16 10:57:52.242 UTC [52] LOG:  checkpoint starting: time
2026-01-16 10:57:52.649 UTC [52] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.402 s, sync=0.002 s, total=0.408 s; sync files=5, longest=0.002 s, average=0.001 s; distance=26 kB, estimate=53 kB; lsn=0/1D627A0, redo lsn=0/1D62748
2026-01-16 11:07:52.833 UTC [52] LOG:  checkpoint starting: time
